OBJECTID,LAND,BEZ,LOR,STRASSE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
196708,11,4,4030623,Ernst-Reuter-Platz,2019,6,3,1,2,0,7,2,1,0,0,0,0,0,0,793158133,582743497,133214,5251801
196709,11,1,1022101,Huttenkiez,2019,7,12,2,3,6,4,0,0,1,1,0,0,0,0,793525957,5829210274,1332838,5253372
196710,11,7,7020202,Volkspark (Rudolf-Wilde-Park),2019,6,1,1,3,1,1,2,0,1,0,0,0,1,0,7947780893,5823180565,1334144,5247899
196711,11,2,2020206,Graefekiez,2019,6,22,1,2,0,7,2,1,0,0,0,0,0,0,7996011341,5824503216,1341344,5248822
196712,11,9,9051901,Dammvorstadt,2019,7,11,2,3,0,1,0,0,0,0,1,0,0,1,8102683673,5821460143,1356721,52455
196713,11,5,5040936,JÑgerallee,2019,6,20,1,3,1,5,0,0,1,0,1,0,0,0,7795366596,5820269882,1311518,5246091
196714,11,2,2030301,Oranienplatz,2019,7,10,2,3,3,6,0,1,0,0,0,0,0,0,7999556547,5825745245,1341976,5249916
196715,11,10,10020413,Gut Hellersdorf,2019,6,19,1,3,5,2,0,1,1,0,0,0,0,0,8111464761,5831554512,1358952,5254496
196716,11,9,9051702,Bîlschestra·e,2019,6,19,1,2,2,6,0,0,1,0,0,0,0,0,8150645183,5820951434,1363708,524477
196717,11,9,9041301,Kietzer Feld/Nachtheide,2019,7,9,2,3,5,3,0,1,1,0,0,0,0,0,8114694916,5819215162,1358274,524342
196718,11,8,8030830,Gropiusstadt SÅd,2019,7,8,2,3,2,6,0,0,1,0,0,0,0,0,8023309788,58178549,134475,5242713
196719,11,2,2010103,Moritzplatz,2019,6,19,1,3,5,2,0,1,1,0,0,0,0,0,7989288119,5826354028,1340523,5250518
196720,11,3,3020307,Buchholz,2019,6,16,1,3,5,3,0,1,1,0,0,0,0,0,7998203778,5839323761,1343004,5262095
196721,11,1,1011305,Heine-Viertel West,2019,7,8,2,3,1,5,0,1,1,0,0,0,0,0,7994184389,5827294228,1341326,5251334
196722,11,8,8010404,Rixdorf,2019,6,15,1,2,5,3,0,1,1,0,0,0,0,0,801850273,5823048387,1344514,5247395
196723,11,1,1011305,Heine-Viertel West,2019,7,7,2,3,5,3,0,0,1,0,0,1,0,0,7989058935,5826711275,1340521,525084
196724,11,7,7050505,Hundsteinweg,2019,6,14,1,2,6,7,0,0,1,1,0,0,0,0,7984322784,5818434752,1339085,5243447
196725,11,8,8010213,Kîrnerpark,2019,7,6,2,3,5,3,0,1,1,0,0,0,0,0,8014432959,5822513521,1343869,5246938
196726,11,2,2030301,Oranienplatz,2019,6,14,1,3,5,2,0,0,1,0,1,0,0,0,7999882835,5826203908,1342065,5250326
196727,11,12,12301203,Wittenau SÅd,2019,7,3,2,3,9,1,2,0,1,0,0,0,0,0,7923601207,5834078232,1331552,5257799
196728,11,4,4030827,Karl-August-Platz,2019,6,9,1,3,1,5,0,1,1,0,0,0,0,0,7927319769,5826231614,1331408,5250745
196729,11,5,5020625,Borkumer Stra·e,2019,6,13,1,3,1,5,0,0,1,0,0,0,0,0,7845816512,5828258844,1319606,5252994
196730,11,2,2010102,Mehringplatz,2019,7,18,2,3,6,4,0,1,0,1,0,0,0,0,7983686026,5826331871,1339698,5250529
196731,11,7,7010104,Dennewitzplatz,2019,7,16,2,3,5,2,0,1,1,0,0,0,0,1,7961547725,5824372783,1336271,5248894
196732,11,3,3051022,Hansastra·e,2019,6,12,1,3,5,2,0,0,1,0,0,0,0,0,8030046317,5832010457,1347025,5255363
196733,11,12,12214527,Alt-Tegel,2019,7,15,2,3,2,2,0,0,1,0,0,0,0,0,7899111969,5835708502,1328091,5259391
196734,11,8,8030831,Gropiusstadt Ost,2019,6,12,1,3,5,7,0,1,1,0,0,0,0,0,803474136,5817722003,1346414,5242531
196735,11,3,3040513,Schînholz,2019,7,15,2,3,5,2,0,1,1,0,0,0,0,0,7967557147,5834013366,1338015,5257503
196736,11,2,2030301,Oranienplatz,2019,6,11,1,3,2,2,0,1,1,0,0,0,0,0,7999005797,5825981665,1341917,5250131
196737,11,7,7030303,Grazer Platz,2019,7,14,2,2,3,6,0,0,1,0,0,0,1,1,7952778482,5821864862,1334762,5246693
196738,11,3,3050923,Wei·enseer Spitze,2019,6,11,1,3,3,6,0,1,1,0,0,0,0,0,800658303,5831907518,1343565,5255401
196739,11,8,8010211,Flughafenstra·e,2019,7,14,2,3,2,6,0,0,1,0,0,0,0,1,8003547716,5824288335,1342431,5248588
196740,11,11,11020514,Gro·e-Leege-Stra·e,2019,6,10,1,3,5,3,0,0,1,0,0,1,0,0,8047560021,5830828474,1349492,5254206
196741,11,10,10030724,Oberfeldstra·e,2019,6,10,1,3,5,3,0,1,1,0,0,0,0,0,8090091675,5828147121,1355494,5251564
196742,11,10,10040830,Kaulsdorf SÅd,2019,7,14,2,3,5,2,0,1,1,0,0,0,0,0,8105947828,5825410463,1357568,5249021
196743,11,4,4051445,Eisenzahnstra·e,2019,6,9,1,3,1,5,0,1,1,0,0,0,0,0,7926541243,5824213901,1331117,524894
196744,11,6,6010102,Schlo·stra·e,2019,7,14,2,3,2,5,0,0,0,0,1,0,1,1,79381204,5820841254,133252,5245854
196745,11,6,6030504,Teltower Damm,2019,6,8,1,2,0,1,0,1,0,0,0,0,0,0,79083117,5817467494,1327851,5242989
196746,11,1,1044101,Rehberge,2019,6,11,7,3,5,5,0,1,1,0,0,0,0,0,7941584919,5831550748,1333975,5255436
196747,11,7,7040403,Manteuffelstra·e,2019,7,14,2,3,2,6,0,0,1,0,1,0,0,1,7977135378,5820780203,133824,5245588
196748,11,10,10010309,Springpfuhl,2019,6,2,7,3,5,3,2,0,1,0,0,0,0,0,8082059278,5829234058,1354415,5252583
196749,11,9,9051901,Dammvorstadt,2019,7,13,2,3,0,4,0,0,0,1,0,0,1,0,8110263,5821821717,1357867,5245781
196750,11,6,6040807,Zehlendorf Eiche,2019,6,16,7,2,2,7,0,0,1,0,1,0,0,0,7897015193,5818415231,1326277,5243899
196751,11,12,12214125,Waldidyll/Flughafensee,2019,7,13,2,3,3,6,0,0,1,0,0,0,0,0,7910362005,5831136572,1329346,5255233
196752,11,2,2030302,Lausitzer Platz,2019,6,23,7,3,0,7,2,0,0,1,1,0,0,0,80150119,5826062753,1344275,5250116
196753,11,1,1044202,Sparrplatz,2019,7,20,2,3,3,6,1,1,1,0,0,0,0,0,7955612428,5830011645,1335901,5253981
196754,11,1,1033102,Gesundbrunnen,2019,6,22,7,3,5,2,2,0,1,0,0,0,0,0,7976489525,5831852019,1339135,5255517
196755,11,8,8010117,Schillerpromenade,2019,6,21,7,3,0,7,1,1,0,0,0,0,0,0,8005430996,5823379065,1342626,5247763
196756,11,4,4030827,Karl-August-Platz,2019,7,19,2,3,5,2,0,0,1,0,0,0,0,0,7927251291,5826103911,1331387,5250631
196757,11,8,8010508,Wei·e Siedlung,2019,7,19,2,3,2,6,0,0,1,0,0,0,0,0,8034310172,5822934288,1346824,5247205
196758,11,3,3061126,Arnimplatz,2019,6,21,7,3,5,2,1,1,0,0,0,0,1,0,7984131376,5831835748,1340257,525546
196759,11,8,8010118,Silbersteinstra·e,2019,7,17,2,3,3,6,0,0,1,0,1,0,0,1,8011225208,5821889111,1343342,5246396
196760,11,9,9051901,Dammvorstadt,2019,6,19,7,3,3,6,0,0,1,0,1,0,0,0,8120524731,5821236096,1359318,5245197
196761,11,2,2040701,Andreasviertel,2019,7,17,2,3,5,2,0,1,1,0,0,0,0,0,8006068729,5827135253,1343058,5251126
196762,11,4,4041344,RÅdesheimer Platz,2019,6,19,7,2,5,2,0,1,1,0,0,0,0,0,7932990246,5822853377,1331944,5247686
196763,11,1,1044201,Reinickendorfer Stra·e,2019,7,17,2,3,2,6,0,0,1,0,0,1,0,1,79694069,5831934764,1338101,5255629
196764,11,4,4030929,Hindemithplatz,2019,6,18,7,3,1,5,0,1,1,0,0,0,0,0,7923015399,5825849221,1330742,5250425
196765,11,4,4031032,Halensee,2019,6,18,7,3,5,2,0,1,1,0,0,0,0,0,7917158339,5824838279,1329793,524955
196766,11,12,12214125,Waldidyll/Flughafensee,2019,7,17,2,2,2,6,0,0,1,0,1,0,0,1,7910897839,583424894,1329698,525802
196767,11,8,8041035,Blumenviertel,2019,6,18,7,3,0,2,0,1,1,0,0,0,0,0,8040439623,5818546518,1347324,5243238
196768,11,3,3061435,Conrad-Blenkle-Stra·e,2019,7,17,2,3,5,3,0,1,1,0,0,0,0,1,8017575367,5829166315,1344933,5252883
196769,11,10,10020517,Adele-Sandrock-Stra·e,2019,6,18,7,3,5,2,0,0,1,0,0,0,0,0,8129998623,583022146,1361551,5253195
196770,11,9,9051901,Dammvorstadt,2019,7,16,2,3,2,6,0,1,1,0,0,0,0,1,8106566321,5821397835,1357285,5245422
196771,11,1,1011102,Gro·er Tiergarten,2019,6,17,7,3,0,1,0,0,0,0,0,0,1,0,7969042531,5827633855,1337663,5251776
196772,11,3,3040614,Pankow Zentrum,2019,7,11,2,3,0,5,0,1,1,0,0,0,0,0,7997386459,5834314725,134243,5257609
196773,11,2,2020203,Viktoriapark,2019,6,15,7,2,6,2,0,0,1,1,0,0,0,0,7971005698,5824292882,1337653,5248771
196774,11,8,8010508,Wei·e Siedlung,2019,6,15,7,3,2,6,0,0,1,0,0,0,0,0,8032131364,582274488,1346487,5247047
196775,11,10,10020620,Kaulsdorf Nord II,2019,7,15,2,3,6,4,0,0,1,1,0,0,0,0,8112664246,582967222,1358953,5252802
196776,11,10,10040829,Alt-Kaulsdorf,2019,6,13,7,3,5,3,0,0,1,0,0,0,0,0,8118790721,5827271558,1359628,5250616
196777,11,8,8020620,Tempelhofer Weg,2019,7,16,2,3,2,6,0,0,1,0,0,0,0,1,801319813,5820399597,1343497,524505
196778,11,11,11020515,Landsberger Allee,2019,6,12,7,2,5,7,0,0,1,0,1,0,0,0,803425487,5830121,1347471,5253646
196779,11,4,4030931,Breitscheidplatz,2019,7,18,2,3,1,7,0,1,1,0,0,0,0,0,7941454318,582584671,1333451,5250324
196780,11,8,8020619,Buschkrugallee Nord,2019,6,11,7,3,0,1,0,1,0,0,0,0,0,0,8012465312,5821555488,1343493,524609
196781,11,1,1022206,LÅneburger Stra·e,2019,7,22,1,3,6,4,1,0,1,1,0,0,0,0,7962714394,5828338323,1336796,5252442
196782,11,3,3030715,Heinersdorf,2019,6,11,7,3,5,3,0,0,1,0,0,0,0,0,8009424565,5833548097,1344132,5256856
196783,11,3,3030711,Blankenburg,2019,6,11,7,2,5,2,0,1,1,0,0,0,0,0,8016119859,5836123765,1345351,5259127
196784,11,1,1011303,Alexanderplatzviertel,2019,7,21,1,3,3,2,1,1,0,0,0,0,0,0,799248351,5828469191,1341182,5252397
196785,11,1,1022104,Emdener Stra·e,2019,7,21,1,3,0,3,1,0,1,0,1,0,0,0,794201232,5828859367,1333799,5253021
196786,11,4,4051549,Rathaus Wilmersdorf,2019,6,8,7,3,0,7,0,0,1,0,1,0,0,0,7927605315,5824204829,1331272,5248926
196787,11,1,1011306,Heine-Viertel Ost,2019,6,7,7,3,5,2,0,1,1,0,0,0,0,0,7999797407,5826934649,1342119,5250981
196788,11,1,1022206,LÅneburger Stra·e,2019,7,20,1,3,5,3,0,0,1,0,0,0,0,0,7962297017,5828195766,1336722,5252317
196789,11,12,12231102,Frohnau,2019,6,7,7,3,4,6,0,0,1,0,0,0,0,0,7905712448,5840566436,132949,5263711
196790,11,4,4020310,Park Ruhwald,2019,7,19,1,3,0,1,0,1,0,0,0,0,0,0,7905804066,5827338566,1328344,5251852
196791,11,2,2030401,Reichenberger Stra·e,2019,6,1,7,3,5,3,2,0,1,0,0,0,0,0,8006279797,5825679485,1342958,524982
196792,11,2,2030301,Oranienplatz,2019,6,1,7,3,1,5,2,1,0,0,0,0,1,0,7998430622,5825799208,1341816,5249971
196793,11,8,8030830,Gropiusstadt SÅd,2019,7,17,1,3,5,2,0,0,1,0,0,0,0,0,8022923146,5817835171,1344691,5242697
196794,11,7,7050503,Eisenacher Stra·e,2019,6,19,6,3,5,2,0,0,1,0,0,0,1,0,7987061289,5819881484,1339616,5244729
196795,11,9,9020701,Adlershof West,2019,6,19,6,3,5,2,0,0,1,0,0,0,0,0,8082507191,5818800828,1353516,5243231
196796,11,5,5040936,JÑgerallee,2019,7,17,1,3,9,1,0,0,1,0,0,0,0,0,7806373165,5821692196,1313253,524731
196797,11,11,11051330,Karlshorst West,2019,6,14,6,3,6,4,0,0,1,1,0,0,0,0,8072476831,5825496587,1352662,5249288
196798,11,12,12301206,LÅbars,2019,7,16,1,3,5,3,0,1,1,0,0,0,0,0,7947407502,583868741,1335466,5261802
196799,11,7,7010103,Barbarossaplatz,2019,7,13,1,3,6,4,0,1,0,1,0,0,0,0,795512381,5824867472,1335372,5249372
196800,11,3,3071639,Bîtzowstra·e,2019,6,6,6,3,5,7,0,0,1,0,0,0,1,0,800290521,5829035477,1342765,5252847
196801,11,1,1022202,Heidestra·e,2019,7,12,1,3,5,2,0,0,1,0,0,0,0,0,7956614035,5829740156,1336024,5253732
196802,11,1,1011302,Oranienburger Stra·e,2019,6,15,6,3,5,2,0,1,1,0,0,0,0,0,798680829,5828662061,1340366,5252601
196803,11,4,4020209,Eichkamp,2019,7,8,1,2,5,3,0,1,1,0,0,0,0,0,7892378529,5825321467,1326195,5250115
196804,11,12,12214528,Tegeler Forst,2019,6,20,6,3,9,1,0,0,1,0,0,0,0,0,7878428368,583626258,1325094,5259998
196805,11,3,3071536,Teutoburger Platz,2019,6,19,6,3,1,5,0,1,0,0,0,0,1,0,7990723324,5830202197,1341079,525396
196806,11,7,7070703,John-Locke-Stra·e,2019,7,5,1,3,5,3,0,0,1,0,0,0,1,0,7997661506,5813974903,1340642,5239376
196807,11,8,8010404,Rixdorf,2019,7,16,7,3,5,2,0,1,1,0,0,0,0,0,8017565459,5822592377,1344336,5246991
196808,11,1,1044202,Sparrplatz,2019,6,18,6,3,5,2,0,1,1,0,0,0,0,0,7948961033,5830252689,1334944,5254233
196809,11,4,4020313,Kînigin-Elisabeth-Stra·e,2019,6,17,6,3,5,2,0,1,0,0,0,0,0,0,7904796378,5826641785,1328135,5251233
196810,11,5,5020625,Borkumer Stra·e,2019,7,23,7,3,6,4,2,0,1,1,0,0,0,1,7846976458,5828614104,1319807,5253306
196811,11,5,5010312,Kurstra·e,2019,6,17,6,3,5,3,0,1,1,0,0,0,0,0,7852531509,5829957841,1320739,5254482
196812,11,1,1011101,StÅlerstra·e,2019,7,23,7,3,5,2,2,0,1,0,0,0,0,0,7945942404,5826083261,1334131,5250511
196813,11,3,3050923,Wei·enseer Spitze,2019,6,17,6,3,2,2,0,0,1,0,0,0,0,0,800324457,583163707,134305,5255177
196814,11,1,1011402,Arkonaplatz,2019,6,16,6,3,5,2,0,0,0,0,1,0,1,0,7988220794,5829758526,1340672,5253576
